lambda;EW;relDepth;ConvBS,
nm;0.1pm; ;m/s,
--------;----;-----;-------,
5725260;4;0.05;-102.3
5726043;5;0.05;-484
5733352;59;0.49;-420.4
5733886;15;0.13;-504.5
5734453;4;0.03;-569.9
5739819;13;0.12;-281.5
5741372;    ;0.02;-622
5743441;31;0.29;-517.1
5744553;12;0.11;-462.5
5749548;35;0.28;-672.4
5751231;2;0.01;-562.2
5753628;56;0.46;-398.5
5754718;78;0.6;-331.1
5754980;12;0.06;-334.7
5755999;18;0.14;-527
5760860;6;0.08;-645.6
5761138;10;0.11;-738.4
5761942;18;0.22;-489.1
5762129;4;0.03;-409.2
5762680;2;0.02;-1356.7
5762854;2;0.04;-559
5764012;22;0.27;-537
5764591;101;0.66;-291.2
5776682;48;0.49;-447.1
5780056;16;0.21;-386.4
5780412;1;0.01;-556
5782203;29;0.35;-466.9
5782407;21;0.24;-514
5786262;20;0.25;-453.7
5788596;6;0.07;1334.6
5793130;7;0.09;-448
5795285;2;0.02;-395.8
5795522;28;0.31;-531.7
5799779;37;0.35;-262.5
5805644;20;0.22;-602.4
5806072;18;0.18;-665
5807367;11;0.12;-235.5
5808335;51;0.43;-456.8
5809394;8;0.08;-515.6
5809586;4;0.03;-436.4
5810829;50;0.4;-548
5813526;10;0.11;-478.3
5814942;2;0.01;-787.3
5816420;21;0.21;-518.3
5816830;10;0.1;-523.9
5817674;12;0.1;-617.4
5828254;4;0.03;-907.5
5829493;10;0.11;-503.8
5836718;12;0.13;-546.9
5837036;8;0.07;-49.7
5837192;7;0.05;-998.6
5839320;9;0.09;-357.1
5839990;16;0.17;-504.2
5846539;3;0.03;-287.5
5846907;6;0.06;-549.2
5851306;7;0.08;-547.1
5853841;36;0.35;-450.6
5854771;7;0.08;-407.1
5856700;18;0.2;-439.8
5857711;29;0.3;-447.5
5859889;4;0.03;-477.4
5860402;12;0.13;-397
5860858;4;0.04;-403.3
5861211;74;0.57;-364.4
5861579;2;0.02;-531.8
5862734;8;0.08;-616.3
5863981;87;0.6;-233.9
5865870;6;0.06;-497
5872931;8;0.08;-1453.6
5874841;18;0.16;-576.1
5877907;7;0.06;-319.2
5879417;16;0.14;-265.2
5881116;12;0.11;-201.4
5881657;15;0.12;-818.6
5882910;16;0.14;-549.5
5883381;6;0.05;1552.7
5889097;6;0.06;55.9
5892808;17;0.25;-1237.1
5893511;4;0.08;-1066.6
5894327;18;0.2;226.2
5894868;7;0.05;-755.9
5907308;58;0.47;-453.9
5911611;30;0.29;-388.7
5917887;50;0.48;-325.6
5928466;4;0.02;-130
5929432;39;0.36;-470.2
5931320;38;0.34;-514.3
5931823;86;0.6;-218.9
5933534;3;0.03;1293.6
5935444;8;0.06;-607.2
5936299;78;0.56;-310.5
5944747;3;0.02;-782.2
5945225;10;0.1;-148.4
5950995;40;0.32;-847.9
5954367;68;0.47;-407.7
5958345;60;0.48;-320.2
5959879;36;0.26;70.5
5963570;3;0.02;-617.9
5964891;4;0.04;-390.3
5971216;5;0.04;-536.9
5977001;44;0.41;-424.9
5977816;2;0.02;-331.8
5978433;64;0.52;-346.2
5983022;2;0.02;-401.9
5985339;68;0.52;-414.8
5986473;84;0.57;-265
5988723;68;0.52;-521.4
5997575;2;0.03;79.9
5999439;67;0.38;-512.6
6004675;86;0.58;-278
6007205;21;0.22;-403.4
6009624;59;0.48;-356.6
6010221;88;0.6;-291.6
6011491;1;0.02;-460.8
6014424;4;0.04;-895.6
6016910;4;0.06;-436
6019966;8;0.09;-586.3
6021033;5;0.05;-545.8
6021837;94;0.6;-337.8
6029393;4;0.03;-614.9
6035707;7;0.08;-565.5
6037009;6;0.06;-479.8
6055751;8;0.09;-565.8
6057682;    ;0.53;-386.1
6062486;2;0.02;-588.8
6064527;18;0.19;-440.8
6067162;115;0.71;-59.6
6067480;2;0.03;-1469.2
6080174;91;0.54;-371.3
6080692;55;0.38;-522.6
6083395;3;0.03;-720.8
6083512;2;0.02;-962.9
6084394;34;0.32;-451.3
6086943;40;0.36;-791.6
6093407;6;0.05;-11.9
6095331;31;0.26;-547.8
6096061;20;0.17;-479.3
6098353;36;0.31;-515.6
6098769;4;0.02;-359.1
6099933;16;0.14;-482.5
6101960;10;0.07;-473.2
6103867;84;0.55;-414.5
6106821;12;0.1;-639.2
6109020;2;0.01;-805.9
6121944;6;0.05;-497
6129603;48;0.41;-466.3
6138314;137;0.73;15.6
6138693;64;0.54;-394.8
6139391;129;0.72;-58.3
6143432;113;0.77;-862.1
6153321;41;0.44;-414
6159433;48;0.49;-440.6
6161082;8;0.11;-628.5
6165250;24;0.32;-926.2
6167067;33;0.38;-451.3
6172215;66;0.52;-216.2
6175044;50;0.54;-359.9
6181914;40;0.45;-408.1
6189702;36;0.38;-444.5
6193272;110;0.72;-30.1
6202029;55;0.56;-268.4
6215149;61;0.61;-297.6
6216864;40;0.43;-437.6
6221001;82;0.63;-273.6
6222505;17;0.17;-569.5
6228459;24;0.24;-523.1
6230952;33;0.32;-473.1
6232447;151;0.73;12.5
6242037;13;0.14;-581.1
6242372;40;0.42;-397.8
6248047;112;0.66;-219.2
6254285;109;0.7;-24.8
6255561;17;0.16;-521.1
6258092;81;0.62;-366.5
6266867;72;0.62;-298.5
6271959;46;0.45;-410.8
6273013;19;0.21;-465.2
6282355;52;0.54;-398.7
6292706;66;0.44;-374.4
6295666;12;0.11;-604.2
6299535;65;0.57;-334.1
6303244;127;0.66;-213.2
6304237;83;0.57;-324.7
6309599;5;0.04;-451.3
6313246;23;0.24;-463.1
6317053;52;0.44;-251
6317558;33;0.34;-495
6324434;75;0.56;-247
6332600;32;0;
6337082;103;0;
6338576;121;0.63;-248.5
6340630;42;0.34;-534.4
6345903;56;0.47;-364.9
6355593;2;0.02;-545.6
6356786;62;0.51;-318.9
6364636;30;0.29;-694.6
6366125;25;0.23;-569.7
6366455;12;0.11;-660.1
6377962;2;0.02;-570
6382507;40;0.41;-455.4
6387484;8;0.09;-523.9
6394306;10;0.16;-478.3
6395369;117;0.7;0.4
6401770;181;0.71;-126.5
6402087;46;0.51;-450.6
6412880;6;0.06;-654.9
6413422;129;0.67;-210.9
6421420;9;0.09;-448.5
6421724;80;0.55;-378.2
6423125;87;0.67;-173.6
6432624;106;0.68;-168
6438186;7;0.09;-527.9
6440538;7;0.08;-386.9
6470981;52;0.4;-597.2
6473938;2;0.02;-323.1
6477414;57;0.46;-298.7
6483661;63;0.5;-342.8
6496295;34;0.25;-719.7
6496775;165;0.73;57.4
6497537;42;0.35;-93
6498262;69;0.45;-417.4
6500735;43;0.39;-374.9
6511415;    ;0.03;-574.9
6520168;61;0.45;-396.9
6548048;103;0.65;-170.8
6557681;4;0.08;-914.8
6558599;16;0.17;-362.5
6571030;71;0.53;-315
6572983;    ;0.07;-1324.5
6576044;22;0.27;-476.8
6576832;64;0.49;-336.2
6583028;14;0.17;-490.2
6593134;10;0.09;-552.9
6594735;123;0.66;-167.3
6595692;89;0.58;-179.1
6599383;44;0.34;-540.5
6609851;18;0.15;-435.7
6610936;76;0.49;-305.1
6611504;5;0.06;-1092.5
6615652;5;0.07;-1048.7
6629375;24;0.22;-508.1
6635244;30;0.21;-513.3
6635581;70;0.46;-434.6
6635939;40;0.24;-483.1
6641712;11;0.11;-608.4
6665072;31;0.26;-457.2
6665282;76;0.57;-300.5
6669553;7;0.08;-275.5
6678709;1;0.01;-479.7
6679831;122;0.68;-159.1
6700991;7;0.07;-497
6705418;32;0.3;-419.4
6706332;5;0.05;-479.5
6706954;42;0.34;-470.6
6712172;12;0.14;-457.1
6714291;2;0.03;138.8
6714900;    ;0.2;-484.5
6715598;23;0.17;-607.3
6717237;33;0.2;-485.3
6718091;15;0.12;-555.5
6727214;17;0.14;-512.6
6728524;50;0.35;-435.9
6733923;8;0.06;-527.9
6735010;25;0.21;-513.7
6738391;2;0.02;-407.6
6739129;2;0.01;-329.6
6739847;24;0.17;-582.5
6741382;11;0.1;-497.8
6746963;7;0.07;-477.8
6747819;8;0.06;-395.8
6748817;5;0.04;-434.9
6752016;75;0.53;-321.5
6754571;42;0.27;-476.7
6755328;5;0.05;-567
6765975;2;0.02;-429
6771528;3;0.02;-879
6779280;6;0.06;-771.2
6785138;2;0.03;-387.6
6787614;2;0.04;-341.6
6788734;16;0.2;-500.5
6795134;10;0.1;-549.7
6796494;3;0.04;-571.2
6798001;8;0.09;-831.4
6803748;1;0.01;-781
6805879;14;0.17;-575
6806149;10;0.12;-502.9
6808723;24;0.28;-426
6812142;42;0.36;-466.6
6821472;5;0.06;-802.4
6822254;    ;0.3;-564.9
6830476;56;0.4;-404.9
6835111;8;0.07;-374.1
6838893;15;0.14;-541.9
6841718;30;0.24;-414.8
6843227;65;0.44;-411.2
6844574;41;0.29;-459.2
6845544;59;0.42;-438.6
6853525;4;0.03;-367.2
6856714;12;0.1;-436.9
6857054;85;0.48;-387.5
6857605;23;0.14;-244.6
6859143;27;0.18;-561.6
6860042;57;0.37;-454.8
6863835;22;0.15;-627.4
6980776;90;0.54;-244
7001815;    ;0.38;-383.1
7009903;31;0.21;-607.1
7024891;72;0.44;-404.3
7040164;76;0.42;-491.5
7070359;64;0.42;-417.6
7092338;73;0.44;-271.2
7132888;105;0.54;-434.7
7134953;44;0.32;-417.1
7166424;153;0.6;-1028
7183175;71;0.52;-257.6
7221675;53;0.35;-634.5
7286843;41;0.31;-488.1
7290747;70;0.42;-416
7294839;47;0.38;-692.2
7295055;85;0.46;-509
7308576;43;0.3;-368.3
7388368;94;0.43;-525.7
7403724;48;0.3;-490.8
7413196;140;0.56;-159.9
7420711;49;0.35;-405
7423603;20;0.13;-407
7442961;    ;0.36;-416.2
7445072;38;0.26;-478.5
7447802;178;0.59;-223.2
7449445;38;0.23;-413
7456050;11;0.09;-416.1
7463575;26;0.21;-414.5
